order_id,product_id,add_to_cart_order,reordered
5762999,68,1,1
5770554,181,2,1
5769687,180,3,0
5753289,111,4,1
5749777,157,5,0
5749604,18,6,1
5748473,179,7,1
5743290,121,8,1
5717474,84,9,0
5698103,196,10,1
5679183,60,11,1
5656122,4,1,1
5655611,191,2,1
5636693,48,3,1
5636691,177,4,1
5628454,174,5,1
5615292,193,6,1
5605229,11,7,0
5588301,19,8,1
5570890,145,9,1
5570580,77,10,1
5566657,169,11,1
5491031,146,12,1
5487386,157,13,1
5470996,10,14,1
5467749,15,15,1
5442234,17,1,1
5427949,194,2,1
5404550,144,3,1
5379860,123,4,1
5376024,104,5,1
5366020,138,6,1
5366006,138,7,1
5352987,121,8,1
5350749,49,9,1
5335622,109,10,1
5334018,15,11,1
5311167,158,12,1
5307301,3,13,1
5298969,99,1,1
5291286,19,2,1
5291015,178,3,1
5289763,50,4,1
5283702,28,5,1
5275460,203,6,1
5272523,84,1,1
5257281,160,2,1
5245384,179,3,1
5216418,78,4,1
5214957,141,5,1
5202526,33,1,1
5194270,57,2,0
5193870,171,3,0
5193648,15,4,0
5184337,202,1,0
5149017,16,2,0
5146425,88,3,0
5134067,27,4,0
5123067,42,5,0
5121122,39,6,0
5103148,51,7,0
5101991,176,8,1
5092029,41,9,0
5081710,29,10,1
5004112,153,11,0
5000266,151,12,1
4994918,38,13,1
4980800,12,14,1
4979055,82,15,1
4973382,73,16,1
4971948,45,17,0
4969446,5,18,1
4968010,168,19,0
4967822,8,20,1
4964403,123,21,1
4961586,75,1,1
4956320,156,2,0
4952493,202,3,1
4949596,145,4,1
4910739,164,1,0
4889415,83,2,1
4889021,104,3,1
4888865,39,4,0
4888852,44,1,1
4887425,69,2,1
4887384,30,3,1
4886708,17,4,0
4879630,79,5,0
4872849,42,6,1
4865678,106,1,0
4862167,16,2,0
4860113,140,3,0
4856210,67,4,1
4853981,195,1,1
4850123,28,2,1
4847156,161,3,1
4846019,134,4,1
4844527,173,5,1
4842806,24,6,1
4842667,16,7,1
4839890,204,8,1
4837592,156,9,0
4835471,103,1,1
4834236,186,2,0
4832765,85,3,0
4832475,89,4,0
4829935,35,5,1
4829319,65,6,0
4828536,56,7,0
4828001,162,8,0
4827758,106,9,0
4827559,21,1,0
4826460,14,2,0
4826350,190,3,0
4825240,46,1,0
4824673,139,2,0
4823327,100,1,0
4822739,47,2,0
4822568,48,3,0
4821357,5,1,0
4818487,12,1,0
4817064,82,2,0
4816865,47,3,0
4816425,122,4,0
4815018,76,1,0
4814903,124,2,1
4814506,134,3,1
4813946,56,4,1
4813102,58,5,1
4812086,191,1,1
4812038,67,2,1
4811960,131,3,1
4810970,169,4,1
4810763,95,5,0
4810579,195,6,1
4809446,17,1,0
4809392,29,2,1
4807876,51,3,1
4807436,199,4,1
