order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
5762999,1,prior,1,2,8,
5770554,1,prior,2,3,7,15
5769687,1,prior,3,3,12,21
5753289,1,prior,4,4,7,29
5749777,1,prior,5,4,15,28
5749604,1,prior,6,2,7,19
5748473,1,prior,7,1,9,20
5743290,1,prior,8,1,14,14
5717474,1,prior,9,1,16,0
5698103,1,prior,10,4,8,30
5679183,1,train,11,4,8,14
5656122,2,prior,1,2,11,
5655611,2,prior,2,5,10,10
5636693,2,prior,3,1,10,3
5636691,2,prior,4,2,10,8
5628454,2,prior,5,3,11,8
5615292,2,prior,6,2,9,13
5605229,2,prior,7,2,12,14
5588301,2,prior,8,1,15,27
5570890,2,prior,9,2,9,8
5570580,2,prior,10,1,11,6
5566657,2,prior,11,1,10,30
5491031,2,prior,12,1,9,28
5487386,2,prior,13,4,11,30
5470996,2,prior,14,3,10,13
5467749,2,train,15,1,11,30
5442234,3,prior,1,1,14,
5427949,3,prior,2,3,19,9
5404550,3,prior,3,3,16,21
5379860,3,prior,4,2,18,20
5376024,3,prior,5,0,17,12
5366020,3,prior,6,0,16,7
5366006,3,prior,7,0,15,7
5352987,3,prior,8,0,17,7
5350749,3,prior,9,0,16,7
5335622,3,prior,10,3,16,17
5334018,3,prior,11,0,18,11
5311167,3,prior,12,1,15,15
5307301,3,train,13,5,15,11
5298969,4,prior,1,6,11,
5291286,4,prior,2,4,11,19
5291015,4,prior,3,4,15,21
5289763,4,prior,4,5,13,15
5283702,4,prior,5,5,13,0
5275460,4,test,6,3,12,30
5272523,5,prior,1,3,12,
5257281,5,prior,2,0,16,11
5245384,5,prior,3,3,18,10
5216418,5,prior,4,1,18,19
5214957,5,test,5,0,11,6
5202526,6,prior,1,5,18,
5194270,6,prior,2,4,16,6
5193870,6,prior,3,2,18,12
5193648,6,test,4,3,16,22
5184337,7,prior,1,3,9,
5149017,7,prior,2,1,19,30
5146425,7,prior,3,0,18,30
5134067,7,prior,4,2,10,9
5123067,7,prior,5,5,18,3
5121122,7,prior,6,1,18,10
5103148,7,prior,7,1,15,7
5101991,7,prior,8,2,12,8
5092029,7,prior,9,6,7,4
5081710,7,prior,10,1,20,9
5004112,7,prior,11,0,15,6
5000266,7,prior,12,0,14,7
4994918,7,prior,13,5,15,5
4980800,7,prior,14,1,13,17
4979055,7,prior,15,3,16,2
4973382,7,prior,16,0,13,11
4971948,7,prior,17,0,10,28
4969446,7,prior,18,0,9,7
4968010,7,prior,19,3,12,3
4967822,7,prior,20,3,9,7
4964403,7,train,21,2,11,6
4961586,8,prior,1,6,0,
4956320,8,prior,2,1,8,30
4952493,8,prior,3,5,0,30
4949596,8,test,4,1,14,10
4910739,9,prior,1,1,17,
4889415,9,prior,2,0,14,6
4889021,9,prior,3,5,12,30
4888865,9,test,4,6,10,30
4888852,10,prior,1,2,14,
4887425,10,prior,2,5,15,30
4887384,10,prior,3,3,19,12
4886708,10,prior,4,3,15,14
4879630,10,prior,5,5,20,23
4872849,10,train,6,0,19,30
4865678,11,prior,1,0,11,
4862167,11,prior,2,5,11,12
4860113,11,prior,3,5,10,14
4856210,11,test,4,5,13,30
4853981,12,prior,1,5,11,
4850123,12,prior,2,5,11,7
4847156,12,prior,3,5,9,30
4846019,12,prior,4,6,11,8
4844527,12,prior,5,1,12,3
4842806,12,prior,6,5,9,30
4842667,12,prior,7,5,8,14
4839890,12,prior,8,3,9,26
4837592,12,train,9,1,9,30
4835471,13,prior,1,1,20,
