product_id,product_name,aisle_id,department_id
1,TOOR DALL,1,1
2,GRAM DALL,1,1
3,MOONG DALL,1,1
4,URAD DALL,1,1
5,MASOOR DALL RED,1,1
6,ALASANDA BHAYALU,1,1
7,ANUMULU,1,1
8,KANDULU,1,1
9,WHEAT,1,1
10,GREEN BATANI DRIED,1,1
11,GROUND NUTS,1,1
12,RAICHUR JONNALU,1,1
13,ALASANDHALU,1,1
14,PAPPULU,1,1
15,TOOR DALL TOP QUALITY,1,1
16,BROWN RICE,2,1
17,KORRA BIYYAM,2,1
18,SAGGUBIYYAM,2,1
19,RICE FALKES,2,1
20,BORUGULU,2,1
21,BASMATHI RICE,2,1
22,RICE BAG OLD 25KG,2,1
23,RICE SONA MASSURI 1KG,2,1
24,NORMAL SUGAR 1KG,3,2
25,JAGGERY,3,2
26,KALAKANDA,3,2
27,DAIMOND KALAKANDA,3,2
28,BURA CHEKKARA 1KG,3,2
29,SPECIAL JAGGERY 1KG PURE,3,2
30,AVALU ,4,3
31,JEELAKARRA,4,3
32,SOPU,4,3
33,AVISE GINJALU,4,3
34,GASALU,4,3
35,TESTING SALT,4,3
36,THELLA NUVVULU,4,3
37,LEMON SALT,4,3
38,MILLMAKER,4,3
39,MENTULU,4,3
40,VAKKALU,4,3
41,SONTI,4,3
42,SODA POWDER,4,3
43,GARLIC,4,3
44,COCONUT POWDER,4,3
45,ONIONS,4,3
46,COCONUT ,4,3
47,GUNDU COBBARA,4,3
48,TOOR DALL 1KG,5,10
49,GROUND NUTS 1KG,5,10
50,ALASANDHALU 1KG,5,10
51,GRAM DALL 1KG,5,10
52,PAPPULU 1KG,5,10
53,RAICHUR JONNALU 1KG,5,10
54,WHEAT 1KG,5,10
55,SONA MASSURI RICE 1KG,5,10
56,SUGAR 1KG,5,10
57,GREEN BATANI DRIED 1KG,5,10
58,PEARL MILLET 1KG,5,10
59,NALLA NUVVULU 1KG,5,10
60,CORIANDER SEEDS 1KG,5,10
61,MUNG BEAN 1KG,5,10
62,UPMA RAWA 1KG,5,10
63,IDLY RAWA 1KG,5,10
64,KORRA BIYYAM 1KG,5,10
65,URAD DALL 1KG,5,10
66,KABULI CHANNA 1KG,5,10
67,BASMATHI RICE 1KG,5,10
68,ARIKALU 1KG,6,1
69,ULUVALU 1KG,6,1
70,UDHALU 1KG,6,1
71,RAGULU,6,1
72,SAMULU 1KG,6,1
73,CORIANDER SEEDS ,7,3
74,PASAPU,7,3
75,VAMU,7,3
76,INGUVA 1 PIECE,7,3
77,BIRIYANI AAKU 50GM,7,3
78,MIRIYALU ,7,3
79,ELAICHI ,7,3
80,DALCHINA CHEKKA,7,3
81,LAVANGAM,7,3
82,RED CHILLIES,7,3
83,CHINTAPANDU 2ND QUALITY,7,3
